S/N,Year,Site Location,Date of Cleanup,Organization,Name of Organiser,Total number of participants,Total number of trash bags filled,Weight of trash bags collected (kg),Total Distance (metres),DEBRIS SUMMARY,Most Likely to Find Items,Fishing Gear,Packaging Materials,Other Trash,Personal Hygiene,Items of Local Concern,TOTAL ITEMS,Most Likely to Find Items,Most Likely to Find Items.Cigarette Butts,"Most Likely to Find Items.Food Wrappers (candy, chips, etc)",Most Likely to Find Items.Take Out Containers (plastic),Most Likely to Find Items.Take Out Containers (foam),Most Likely to Find Items.Bottle Caps (plastic),Most Likely to Find Items.Bottle Caps (metal),Most Likely to Find Items.Lids (plastic),Most Likely to Find Items.Straws/Stirrers,"Most Likely to Find Items.Forks, Knives, Spoons",Most Likely to Find Items.Beverage Bottles (plastic),Most Likely to Find Items.Beverage Bottles (glass),Most Likely to Find Items.Beverage Cans,Most Likely to Find Items.Grocery Bags (plastic),Most Likely to Find Items.Other Plastic Bags,Most Likely to Find Items.Paper Bags,Most Likely to Find Items.Cups & Plates (paper),Most Likely to Find Items.Cups & Plates (plastic),Most Likely to Find Items.Cups & Plates (foam),Fishing Gear.Fishing Gear,Fishing Gear.Fishing Buoys,Fishing Gear.Fishing Net & Pieces,Fishing Gear.Rope (1 meter = 1 piece),Fishing Gear.Fishing line ( 1 meter = 1 piece),Other Trash.Other Trash,"Other Trash.Appliances (fridges, washers, etc)",Other Trash.Balloons,Other Trash.Cigar Tips,Other Trash.Cigarette Lighters,Other Trash.Construction Materials,Other Trash.Fireworks,Other Trash.Tyres,Items of Local Concern,Items of Local Concern.Foam Pieces,Items of Local Concern.Glass Pieces,Items of Local Concern.Plastic Pieces,Items of Local Concern.Rubber Bands,Packaging Materials,Packaging Materials.6-pack holders,Packaging Materials.Other Plastic / Foam Packaging,"Packaging Materials.Other Plastic Bottles (oil, bleach, etc)",Packaging Materials.Strapping bands,Packaging Materials.Tobacco Packaging / Wrappers,Personal Hygiene,Personal Hygiene.Condoms,Personal Hygiene.Diapers,Personal Hygiene.Syringes,Personal Hygiene.Tampons / Tampon Applicators,Dead / Injured Animals,Dead / Injured Animals.What Animal?,Dead / Injured Animals.Dead or Injured?,Dead / Injured Animals.Is the animal entangled? Entangled by what?,Comments
103,2014,Sungei Seletar 1,"Friday, 29 August, 2014",BP Maritime Services Singapore Pte Ltd,Shankar Rajasekharan,29,42,333,200,839,504,45,41,13,0,236,839,504,14,25,10,12,19,7,13,23,5,166,18,30,28,85,3,1,34,11,45,0,22,21,2,13,0,1,1,8,0,0,3,236,141,13,82,0,41,1,26,10,0,4,0,0,0,0,0,,2 horseshoe crabs,,,
104,2014,Sungei Seletar 2,"Saturday, 13 September, 2014",Land Transport Authority,"Teng Wei Ling, Lee Zi Xiong",50,0,371,490,4692,2721,193,271,169,0,1338,4692,2721,45,207,72,61,360,34,12,113,46,536,111,31,193,414,54,66,89,277,193,1,34,121,37,169,3,2,2,141,19,1,1,1338,953,81,299,5,271,0,142,88,31,10,0,0,0,0,0,,NIL,,,
137,2018,Sungei Seletar 2 ,"Saturday, September 15, 2018",Assyafaah Mosque ,Abdul Jaleel Abdul Kader,22,14,75,30,127,84,0,9,3,2,29,,40,11,7,0,0,12,10,0,0,0,,,,,,,,,,0,0,0,0,0,3,0,0,0,3,0,0,0,29,18,11,0,0,9,0,1,8,0,0,2,0,2,0,0,,Horseshoe crab ,,,
201,2017,Sungei Seletar 1,"Saturday, 23 September 2017",Trash Hero Singapore,Stella Cochrane,9,10,86,15,630,463,11,63,16,1,76,630,463,0,71,12,11,6,0,24,136,7,6,19,5,70,80,0,5,11,0,11,0,0,10,1,16,0,0,0,6,10,0,0,76,73,2,1,0,63,0,51,6,2,4,1,0,1,0,0,,NIL,,,
202,2017,Sungei Seletar 2,"Saturday, 23 September 2017",Paia Consulting & APS Asset Management,Ning Li and Weiren,16,13,102,100,878,690,11,32,4,6,135,878,690,0,234,3,0,18,2,0,141,1,79,7,8,21,108,0,0,62,6,11,0,0,10,1,4,0,0,0,2,1,0,1,135,55,20,60,0,32,0,20,8,0,4,6,0,6,0,0,,Nil,,,
269,2016,Sungei Seletar 1,"Saturday, 3 September 2016",Adrian and Colleagues,Adrian Lim,9,21,180,100,1735,947,7,21,27,2,731,1735,947,1,5,7,42,55,2,36,159,12,239,24,26,107,132,26,0,30,44,7,0,2,2,3,27,0,0,0,24,2,0,1,731,593,12,124,2,21,0,0,19,0,2,2,0,1,1,0,,Fish,,,
270,2016,Sungei Seletar 1,"Saturday, 17 September 2016",North West Mosque Cluster,Izuan M Rais,70,10,18,100,332,245,6,14,13,0,54,332,245,12,14,8,32,11,0,5,3,3,37,13,1,79,1,0,0,16,10,6,0,6,0,0,13,0,0,0,2,9,0,2,54,23,14,15,2,14,0,10,4,0,0,0,0,0,0,0,,NIL,,,
271,2016,Sungei Seletar 2,"Saturday, 17 September 2016",Environmental Resources Management (S) Pte Ltd,Ivan Tay,11,10,77,100,1128,679,27,110,54,2,256,1128,679,0,100,30,1,134,1,90,13,19,94,11,10,42,89,0,4,34,7,27,11,0,16,0,54,0,1,0,49,4,0,0,256,209,3,44,0,110,0,79,23,2,6,2,0,0,2,0,,Horseshoe crab,,,
272,2016,Sungei Seletar 2,"Saturday, 17 September 2016",Siemens Pte Ltd,Raymond Ow,11,9,102,50,413,258,0,60,4,0,91,413,258,0,0,0,0,55,20,0,0,30,30,4,5,10,96,0,0,8,0,0,0,0,0,0,4,0,0,0,0,1,0,3,91,19,20,30,22,60,0,20,30,0,10,0,0,0,0,0,,NIL,,,
