S/N,Year,Site Location,Date of Cleanup,Organization,Name of Organiser,Total number of participants,Total number of trash bags filled,Weight of trash bags collected (kg),Total Distance (metres),DEBRIS SUMMARY,Most Likely to Find Items,Fishing Gear,Packaging Materials,Other Trash,Personal Hygiene,Items of Local Concern,TOTAL ITEMS,Most Likely to Find Items,Most Likely to Find Items.Cigarette Butts,"Most Likely to Find Items.Food Wrappers (candy, chips, etc)",Most Likely to Find Items.Take Out Containers (plastic),Most Likely to Find Items.Take Out Containers (foam),Most Likely to Find Items.Bottle Caps (plastic),Most Likely to Find Items.Bottle Caps (metal),Most Likely to Find Items.Lids (plastic),Most Likely to Find Items.Straws/Stirrers,"Most Likely to Find Items.Forks, Knives, Spoons",Most Likely to Find Items.Beverage Bottles (plastic),Most Likely to Find Items.Beverage Bottles (glass),Most Likely to Find Items.Beverage Cans,Most Likely to Find Items.Grocery Bags (plastic),Most Likely to Find Items.Other Plastic Bags,Most Likely to Find Items.Paper Bags,Most Likely to Find Items.Cups & Plates (paper),Most Likely to Find Items.Cups & Plates (plastic),Most Likely to Find Items.Cups & Plates (foam),Fishing Gear.Fishing Gear,Fishing Gear.Fishing Buoys,Fishing Gear.Fishing Net & Pieces,Fishing Gear.Rope (1 meter = 1 piece),Fishing Gear.Fishing line ( 1 meter = 1 piece),Other Trash.Other Trash,"Other Trash.Appliances (fridges, washers, etc)",Other Trash.Balloons,Other Trash.Cigar Tips,Other Trash.Cigarette Lighters,Other Trash.Construction Materials,Other Trash.Fireworks,Other Trash.Tyres,Items of Local Concern,Items of Local Concern.Foam Pieces,Items of Local Concern.Glass Pieces,Items of Local Concern.Plastic Pieces,Items of Local Concern.Rubber Bands,Packaging Materials,Packaging Materials.6-pack holders,Packaging Materials.Other Plastic / Foam Packaging,"Packaging Materials.Other Plastic Bottles (oil, bleach, etc)",Packaging Materials.Strapping bands,Packaging Materials.Tobacco Packaging / Wrappers,Personal Hygiene,Personal Hygiene.Condoms,Personal Hygiene.Diapers,Personal Hygiene.Syringes,Personal Hygiene.Tampons / Tampon Applicators,Dead / Injured Animals,Dead / Injured Animals.What Animal?,Dead / Injured Animals.Dead or Injured?,Dead / Injured Animals.Is the animal entangled? Entangled by what?,Comments
147,2018,Pasir Ris Beach 2,"Saturday, 15 September 2018",Guardians of Mother Earth,Yii Hui Lee,105,61,316,200,3353,2816,80,82,41,1,333,,2171,649,632,8,10,34,5,0,823,10,,,,,,,,,,80,0,34,6,40,41,0,0,33,1,6,0,1,333,71,50,177,35,82,0,74,0,3,5,1,0,0,0,1,,Crab,,,
148,2018,Pasir Ris Beach 6,43358,Bukit Batok Secondary School,Tan Thiam Chye,70,30,300,200,1488,1285,45,30,8,0,120,,335,0,50,60,0,200,5,0,20,0,,,,,,,,,,45,0,5,10,30,8,0,0,0,5,3,0,0,120,50,20,50,0,30,0,0,30,0,0,0,0,0,0,0,,0,,,
149,2018,Pasir Ris Beach 6,15TH SEPTEMBER 2018,ITE COLLEGE EAST,CHRISTINA LIM,28,17,49,250,289,213,9,12,12,0,43,,55,3,5,5,12,11,4,11,2,2,,,,,,,,,,9,0,2,4,3,12,0,0,0,12,0,0,0,43,22,11,10,0,12,0,12,0,0,0,0,0,0,0,0,,JELLYFISH,,,
150,2018,Pasir Ris Beach 6,"Saturday, 15 September 2018",Overseas Family School,Overseas Family School,18,8,27,250,1676,600,42,129,57,0,848,,428,80,76,20,12,77,11,28,97,27,,,,,,,,,,42,0,27,6,9,57,0,7,6,8,10,26,0,848,714,7,109,18,129,0,56,16,49,8,0,0,0,0,0,,0,,,
151,2018,Pasir Ris Beach 6,43358,Mediacorp Pte Ltd ,Gina Ho ,40,43,5263,250,2449,2097,17,216,59,3,57,,811,114,215,20,16,41,4,8,379,14,,,,,,,,,,17,1,2,13,1,59,2,2,1,5,49,0,0,57,5,7,44,1,216,0,205,7,1,3,3,0,1,2,0,,crab,,,
210,2017,Pasir Ris Beach 1,"Saturday, 23 September 2017",Nanyang Polytechnic Geo Council,Nanyang Polytechnic Geo Council,37,5,6,300,282,158,11,112,0,0,1,282,158,117,13,3,0,3,1,2,4,1,5,5,0,0,4,0,0,0,0,11,0,4,1,6,0,0,0,0,0,0,0,0,1,0,0,0,1,112,0,112,0,0,0,0,0,0,0,0,,NIL,,,
211,2017,Pasir Ris Beach 1,"Saturday, 30 September 2017",Overseas Family School,Jean Curry,7,2,6,40,587,306,12,21,8,0,240,587,306,68,28,2,5,25,1,11,100,10,15,0,12,6,15,0,0,3,5,12,0,7,0,5,8,0,1,0,1,0,6,0,240,200,0,40,0,21,0,0,0,16,5,0,0,0,0,0,,NIL,,,
212,2017,Pasir Ris Beach 1,"Saturday, 23 September 2017",Singapore Polytechnic Diploma in Biomedical Science,Tong Bing Teck,18,9,78,300,882,507,37,28,32,1,277,882,507,186,115,7,6,13,2,2,12,0,8,6,11,7,35,6,0,88,3,37,0,16,7,14,32,0,3,17,0,11,1,0,277,84,64,112,17,28,0,10,0,12,6,1,0,0,0,1,,Starfish X2,,,
213,2017,Pasir Ris Beach 2,23rd September 2017,Geodis Wilson Singapore Pte Ltd,Larrisa Seah,18,5,21,200,239,138,2,87,4,0,8,239,138,33,4,0,1,2,25,0,15,0,2,0,1,3,29,17,3,2,1,2,0,0,2,0,4,0,0,0,0,4,0,0,8,2,0,1,5,87,8,35,20,10,14,0,0,0,0,0,,NIL,,,
214,2017,Pasir Ris Beach 2,"Saturday, 23 September 2017",ST Aerospace Supplies Pte Ltd,Teo Lee Tong,50,24,163,200,1388,924,49,81,32,0,302,1388,924,343,81,8,0,22,6,4,182,24,5,12,1,43,166,10,4,10,3,49,0,19,2,28,32,0,10,13,3,4,2,0,302,122,30,146,4,81,0,51,3,9,18,0,0,0,0,0,,Crab,,,
215,2017,Pasir Ris Beach 6,"Saturday, 9 September 2017",Bukit Batok Secondary School,One Earth Club,46,54,236,20,1878,461,4,486,5,8,914,1878,461,2,5,21,23,5,2,3,6,60,167,6,10,60,23,0,0,16,52,4,0,1,2,1,5,0,0,0,2,0,0,3,914,899,0,15,0,486,0,0,239,244,3,8,3,0,5,0,,Fish,,,
216,2017,Pasir Ris Beach 6,"Saturday, 23 September 2017",BW Monastery,Chee Ai Leen,39,14,101,200,1075,688,58,57,11,7,254,1075,688,24,119,12,1,17,3,38,106,5,41,8,4,54,222,13,2,15,4,58,5,7,20,26,11,1,1,1,5,3,0,0,254,80,23,149,2,57,0,46,10,1,0,7,0,1,4,2,,Small Crabs (2),,,
217,2017,Pasir Ris Beach 6,"Saturday, 23 September 2017",Mediacorp Pte Ltd,Oh Pei Ling,40,29,358,600,1341,1080,9,55,20,4,173,1341,1080,0,283,10,0,15,0,2,189,15,127,11,3,35,316,3,0,55,16,9,0,4,4,1,20,1,0,0,5,13,0,1,173,39,44,87,3,55,0,39,7,9,0,4,0,4,0,0,,Nil,,,
218,2017,Pasir Ris Beach 6,"Saturday, 23 September 2017",Tian Hua Holy House,Kenneth Tan and Tang Li Pheng,31,12,87,300,1150,789,14,40,24,0,283,1150,789,28,39,20,40,8,9,3,94,6,115,20,12,90,245,7,12,38,3,14,1,5,6,2,24,0,0,2,10,12,0,0,283,112,16,148,7,40,0,24,8,6,2,0,0,0,0,0,,Nil,,,
276,2016,Pasir Ris 1,"Saturday, 17 September 2016",Overseas Family School,Overseas Family school,16,3,19,250,789,410,32,110,1,4,232,789,410,125,65,8,7,32,0,10,17,2,27,3,12,30,47,0,0,25,0,32,1,3,5,23,1,0,0,0,1,0,0,0,232,170,0,46,16,110,1,65,18,20,6,4,0,0,0,4,,NIL,,,
277,2016,Pasir Ris Beach 2,"Saturday, 17 September 2016",Tian Hua Holy House,Tang Li Pheng,25,9,46,200,1582,962,39,27,23,0,531,1582,962,512,35,3,3,28,4,0,135,24,24,2,8,67,86,3,11,15,2,39,3,20,1,15,23,0,1,5,2,1,14,0,531,128,20,378,5,27,1,14,2,1,9,0,0,0,0,0,,"crab leg, prawn",,,
278,2016,Pasir Ris Beach 6,"Saturday, 3 September 2016",Bukit Batok Secondary School,"Syam Lai Sadanandan (Dean, Normal Technical)",30,23,128,400,1510,1082,2,8,1,0,417,1510,1082,0,169,15,3,15,0,2,4,4,380,9,9,463,1,0,3,3,2,2,0,1,1,0,1,0,0,0,1,0,0,0,417,313,4,100,0,8,0,5,3,0,0,0,0,0,0,0,,Crab,,,
279,2016,Pasir Ris Beach 6,"Saturday, 3 September 2016",BW Monastery,Chee Ai Leen,31,23,137,200,1733,1415,53,47,13,4,201,1733,1415,12,464,6,1,13,2,23,203,28,55,7,3,401,148,1,7,35,6,53,0,14,25,14,13,1,0,1,7,4,0,0,201,25,43,131,2,47,0,28,7,8,4,4,0,1,2,1,,NIL,,,
280,2016,Pasir Ris Beach 6 ,"Saturday, 17 September 2016",Mediacorp Pte Ltd,"Pauline Lam, Oh Pei Ling",52,55,452,600,2570,2037,55,130,59,0,289,2570,2037,1,403,30,9,40,7,9,206,101,734,34,9,30,309,10,11,71,23,55,8,20,20,7,59,0,0,2,11,43,0,3,289,98,31,158,2,130,0,110,4,9,7,0,0,0,0,0,,NIL,,,
