S/N,Year,Site Location,Date of Cleanup,Organization,Name of Organiser,Total number of participants,Total number of trash bags filled,Weight of trash bags collected (kg),Total Distance (metres),DEBRIS SUMMARY,Most Likely to Find Items,Fishing Gear,Packaging Materials,Other Trash,Personal Hygiene,Items of Local Concern,TOTAL ITEMS,Most Likely to Find Items,Most Likely to Find Items.Cigarette Butts,"Most Likely to Find Items.Food Wrappers (candy, chips, etc)",Most Likely to Find Items.Take Out Containers (plastic),Most Likely to Find Items.Take Out Containers (foam),Most Likely to Find Items.Bottle Caps (plastic),Most Likely to Find Items.Bottle Caps (metal),Most Likely to Find Items.Lids (plastic),Most Likely to Find Items.Straws/Stirrers,"Most Likely to Find Items.Forks, Knives, Spoons",Most Likely to Find Items.Beverage Bottles (plastic),Most Likely to Find Items.Beverage Bottles (glass),Most Likely to Find Items.Beverage Cans,Most Likely to Find Items.Grocery Bags (plastic),Most Likely to Find Items.Other Plastic Bags,Most Likely to Find Items.Paper Bags,Most Likely to Find Items.Cups & Plates (paper),Most Likely to Find Items.Cups & Plates (plastic),Most Likely to Find Items.Cups & Plates (foam),Fishing Gear.Fishing Gear,Fishing Gear.Fishing Buoys,Fishing Gear.Fishing Net & Pieces,Fishing Gear.Rope (1 meter = 1 piece),Fishing Gear.Fishing line ( 1 meter = 1 piece),Other Trash.Other Trash,"Other Trash.Appliances (fridges, washers, etc)",Other Trash.Balloons,Other Trash.Cigar Tips,Other Trash.Cigarette Lighters,Other Trash.Construction Materials,Other Trash.Fireworks,Other Trash.Tyres,Items of Local Concern,Items of Local Concern.Foam Pieces,Items of Local Concern.Glass Pieces,Items of Local Concern.Plastic Pieces,Items of Local Concern.Rubber Bands,Packaging Materials,Packaging Materials.6-pack holders,Packaging Materials.Other Plastic / Foam Packaging,"Packaging Materials.Other Plastic Bottles (oil, bleach, etc)",Packaging Materials.Strapping bands,Packaging Materials.Tobacco Packaging / Wrappers,Personal Hygiene,Personal Hygiene.Condoms,Personal Hygiene.Diapers,Personal Hygiene.Syringes,Personal Hygiene.Tampons / Tampon Applicators,Dead / Injured Animals,Dead / Injured Animals.What Animal?,Dead / Injured Animals.Dead or Injured?,Dead / Injured Animals.Is the animal entangled? Entangled by what?,Comments
114,2014,Chek Jawa North 2,"Saturday, 13 September, 2014",Barclays Technology Centre,"Erica Lee, Maries Villarosa",26,47,161,50,1230,904,9,41,10,2,264,1230,904,0,17,5,4,3,1,4,71,1,626,31,6,8,76,1,6,35,9,9,3,3,3,0,10,1,1,0,4,3,0,1,264,217,34,13,0,41,0,24,16,0,1,2,0,2,0,0,,NIL,,,
115,2014,Chek Jawa Central 3 & 4,"Saturday, 13 September, 2014",Arup Singapore Pte Ltd,Ang Siow Ting,26,42,346,200,2371,1866,22,169,30,2,282,2371,1866,1,81,116,65,71,16,45,47,20,841,25,22,62,157,11,3,238,45,22,0,5,17,0,30,0,2,0,17,9,0,2,282,192,14,74,2,169,0,88,66,14,1,2,0,2,0,0,,crabs,,,
116,2014,Chek Jawa South 1 - 3,"Saturday, 13 September, 2014",Sukyo Mahikari,Patrick Sng,48,74,365,150,3325,2348,26,252,105,0,594,3325,2348,17,262,77,26,208,1,31,183,67,728,69,40,91,270,3,12,226,37,26,0,11,13,2,105,3,1,0,65,33,0,3,594,384,31,174,5,252,1,208,31,5,7,0,0,0,0,0,,NIL,,,
117,2014,Chek Jawa South 4-5,"Saturday, 13 September, 2014",Temasek Polytechnic Community Service Club,Chua Yong Xiang,24,17,145,100,494,358,3,29,30,0,74,494,358,3,112,21,15,36,7,9,24,0,17,27,23,17,11,0,0,29,7,3,0,0,3,0,30,0,0,0,11,19,0,0,74,0,23,35,16,29,0,7,11,2,9,0,0,0,0,0,,NIL,,,
118,2014,Chek Jawa South 6,"Saturday, 13 September, 2014",Oscar and Friends,Oscar Ng,15,18,307,20,2165,1578,163,55,10,1,358,2165,1578,0,437,52,4,146,1,6,226,14,97,8,18,85,365,0,0,119,0,163,12,6,139,6,10,2,0,0,6,0,0,2,358,310,18,29,1,55,0,19,34,0,2,1,0,0,1,0,,Horseshoe crab,,,
119,2014,Chek Jawa South 8 - 10,"Saturday, 13 September, 2014",State Street Bank & Trust,Matthew French,21,34,286,30,560,441,21,32,12,1,53,560,441,0,49,35,11,41,7,23,19,9,69,14,11,37,73,7,8,23,5,21,1,6,11,3,12,0,1,0,2,7,0,2,53,35,11,4,3,32,0,19,13,0,0,1,0,0,1,0,,NIL,,,
159,2018,"Chek Jawa N1, N2","Saturday, September 15, 2018",Bedok South Secondary School,"Jeanette Sim, Edzra Iskandar",32,30,306,300,2262,1558,0,156,10,2,536,,371,0,97,186,35,5,0,10,15,23,,,,,,,,,,0,0,0,0,0,10,0,1,0,4,4,0,1,536,435,0,101,0,156,0,155,1,0,0,2,1,0,1,0,,Jelly Fish,,,
160,2018,Chek Jawa Central 1 & 2,"Saturday, 15 September 2018",Catholic High School,Leong Se Yean,15,47,250,100,1403,738,28,60,21,2,554,,281,0,85,31,16,103,2,7,30,7,,,,,,,,,,28,2,3,23,0,21,0,0,0,10,11,0,0,554,399,15,140,0,60,0,36,13,11,0,2,0,2,0,0,,0,,,
161,2018,"Pulau Ubin, Chek Jawa South 1-3",43358,Sukyo Mahikari,Michelle Lau,48,49,273,150,2770,2229,41,230,44,1,225,,738,4,187,106,40,130,30,93,105,43,,,,,,,,,,41,4,10,23,4,44,0,5,2,19,16,0,2,225,141,15,48,21,230,0,161,46,10,13,1,0,0,1,0,,0,,,
162,2018,Chek Jawa South 4–5,15 September 2018 (Saturday),Little Green Men,Frances Loke Wei,39,34,256,50,4063,1385,35,510,41,3,2089,,475,2,136,71,18,40,8,17,163,20,,,,,,,,,,35,3,16,10,6,41,0,2,0,21,18,0,0,2089,1499,20,566,4,510,0,297,199,13,1,3,1,0,1,1,,fish,,,
