S/N,Year,Site Location,Date of Cleanup,Organization,Name of Organiser,Total number of participants,Total number of trash bags filled,Weight of trash bags collected (kg),Total Distance (metres),DEBRIS SUMMARY,Most Likely to Find Items,Fishing Gear,Packaging Materials,Other Trash,Personal Hygiene,Items of Local Concern,TOTAL ITEMS,Most Likely to Find Items,Most Likely to Find Items.Cigarette Butts,"Most Likely to Find Items.Food Wrappers (candy, chips, etc)",Most Likely to Find Items.Take Out Containers (plastic),Most Likely to Find Items.Take Out Containers (foam),Most Likely to Find Items.Bottle Caps (plastic),Most Likely to Find Items.Bottle Caps (metal),Most Likely to Find Items.Lids (plastic),Most Likely to Find Items.Straws/Stirrers,"Most Likely to Find Items.Forks, Knives, Spoons",Most Likely to Find Items.Beverage Bottles (plastic),Most Likely to Find Items.Beverage Bottles (glass),Most Likely to Find Items.Beverage Cans,Most Likely to Find Items.Grocery Bags (plastic),Most Likely to Find Items.Other Plastic Bags,Most Likely to Find Items.Paper Bags,Most Likely to Find Items.Cups & Plates (paper),Most Likely to Find Items.Cups & Plates (plastic),Most Likely to Find Items.Cups & Plates (foam),Fishing Gear.Fishing Gear,Fishing Gear.Fishing Buoys,Fishing Gear.Fishing Net & Pieces,Fishing Gear.Rope (1 meter = 1 piece),Fishing Gear.Fishing line ( 1 meter = 1 piece),Other Trash.Other Trash,"Other Trash.Appliances (fridges, washers, etc)",Other Trash.Balloons,Other Trash.Cigar Tips,Other Trash.Cigarette Lighters,Other Trash.Construction Materials,Other Trash.Fireworks,Other Trash.Tyres,Items of Local Concern,Items of Local Concern.Foam Pieces,Items of Local Concern.Glass Pieces,Items of Local Concern.Plastic Pieces,Items of Local Concern.Rubber Bands,Packaging Materials,Packaging Materials.6-pack holders,Packaging Materials.Other Plastic / Foam Packaging,"Packaging Materials.Other Plastic Bottles (oil, bleach, etc)",Packaging Materials.Strapping bands,Packaging Materials.Tobacco Packaging / Wrappers,Personal Hygiene,Personal Hygiene.Condoms,Personal Hygiene.Diapers,Personal Hygiene.Syringes,Personal Hygiene.Tampons / Tampon Applicators,Dead / Injured Animals,Dead / Injured Animals.What Animal?,Dead / Injured Animals.Dead or Injured?,Dead / Injured Animals.Is the animal entangled? Entangled by what?,Comments
163,2018,Changi Beach 1,42993,Ricoh (Singapore) Pte Ltd,Felicia Kang,62,2,12,200,2083,1398,30,33,19,1,602,,1373,1167,90,0,0,36,14,22,44,0,,,,,,,,,,30,1,10,6,13,19,0,1,0,8,10,0,0,602,219,34,266,83,33,0,19,1,5,8,1,0,0,0,1,,0,,,
164,2018,Changi Beach 2,43358,Kleen-Pak Products Pte Ltd,Tan Yuan Ming,41,17,71,400,2014,1413,41,103,48,1,408,,1263,1026,100,3,2,45,15,3,55,14,,,,,,,,,,41,8,9,11,13,48,0,6,4,4,19,14,1,408,42,56,232,78,103,0,53,1,35,14,1,0,1,0,0,,-,,,
165,2018,Changi Beach 4,43358,Immigration & Checkpoints Authority AND Singapore Customs,Ong Boon Kwan,50,18,36,1500,3090,1956,59,269,27,2,777,,1626,1029,206,8,67,142,18,65,79,12,,,,,,,,,,59,1,1,12,45,27,0,3,3,13,5,3,0,777,354,75,314,34,269,0,135,5,50,79,2,0,0,2,0,,0,,,
166,2018,Changi Beach 4,43358,KBC Bank N.V. Singapore Branch,Katelyn So,18,10,38,300,1087,659,3,93,6,0,326,,553,289,65,22,13,92,8,12,22,30,,,,,,,,,,3,0,1,1,1,6,0,1,0,3,2,0,0,326,87,9,212,18,93,0,56,0,22,15,0,0,0,0,0,,Crab,,,
167,2018,Changi Beach 4 ,43358,Mun Siong Engineering Limited ,Airani ,34,10,56,800,1708,1126,39,46,22,2,473,,952,638,109,8,11,77,10,30,51,18,,,,,,,,,,39,2,20,5,12,22,0,0,0,8,14,0,0,473,249,2,200,22,46,0,0,4,21,21,2,1,1,0,0,,Fish,,,
228,2017,Changi Beach 1,"Saturday, 23 September 2017",Colugo Scouts Group,Justin Chong,60,6,18,400,2078,839,31,39,100,6,1063,2078,839,443,82,9,8,53,33,8,58,14,27,17,6,15,20,11,4,10,21,31,0,6,9,16,100,7,5,71,9,8,0,0,1063,447,77,460,79,39,0,22,0,12,5,6,0,0,6,0,,NIL,,,
229,2017,Changi Beach 2 ,"Saturday, 23 September 2017",Ricoh (Singapore) Pte Ltd,Felicia Kang,34,6,33,500,1132,637,20,102,15,1,357,1132,637,376,24,1,0,39,11,4,40,3,33,16,12,14,43,11,1,9,0,20,0,3,2,15,15,0,5,0,4,1,5,0,357,171,23,146,17,102,0,91,5,0,6,1,0,0,0,1,,Nil,,,
230,2017,Changi Beach 3,"Saturday, 23 September 2017",Compassvale Secondary School,Tay Siew Woon,120,19,34,0,3414,1186,86,96,62,5,1979,3414,1186,604,118,14,47,86,6,30,75,42,37,2,13,16,20,10,18,33,15,86,8,15,7,56,62,3,1,15,15,28,0,0,1979,1266,46,609,58,96,0,65,4,16,11,5,2,1,1,1,,NIL,,,
231,2017,Changi Beach 4,"Saturday, 23 September 2017",Young Parents-ICCS,Airani S,99,36,135,700,5839,3376,189,463,88,7,1716,5839,3376,1863,172,86,43,114,14,19,238,19,107,21,37,51,82,17,21,26,446,189,7,29,19,134,88,21,3,45,6,8,2,3,1716,978,67,593,78,463,4,384,2,43,30,7,0,4,2,1,,Seahorse,,,
232,2017,Changi Beach 4,"Thursday, 12 October 2017",ST Dynamics Pte Ltd,Darren Tan Lian Sing,42,12,36,700,1139,569,45,72,17,0,436,1139,569,293,44,2,6,46,4,6,32,15,54,4,9,4,23,8,4,3,12,45,4,13,5,23,17,0,0,0,5,11,0,1,436,264,6,158,8,72,0,52,0,3,17,0,0,0,0,0,,NIL,,,
