S/N,Year,Site Location,Date of Cleanup,Organization,Name of Organiser,Total number of participants,Total number of trash bags filled,Weight of trash bags collected (kg),Total Distance (metres),DEBRIS SUMMARY,Most Likely to Find Items,Fishing Gear,Packaging Materials,Other Trash,Personal Hygiene,Items of Local Concern,TOTAL ITEMS,Most Likely to Find Items,Most Likely to Find Items.Cigarette Butts,"Most Likely to Find Items.Food Wrappers (candy, chips, etc)",Most Likely to Find Items.Take Out Containers (plastic),Most Likely to Find Items.Take Out Containers (foam),Most Likely to Find Items.Bottle Caps (plastic),Most Likely to Find Items.Bottle Caps (metal),Most Likely to Find Items.Lids (plastic),Most Likely to Find Items.Straws/Stirrers,"Most Likely to Find Items.Forks, Knives, Spoons",Most Likely to Find Items.Beverage Bottles (plastic),Most Likely to Find Items.Beverage Bottles (glass),Most Likely to Find Items.Beverage Cans,Most Likely to Find Items.Grocery Bags (plastic),Most Likely to Find Items.Other Plastic Bags,Most Likely to Find Items.Paper Bags,Most Likely to Find Items.Cups & Plates (paper),Most Likely to Find Items.Cups & Plates (plastic),Most Likely to Find Items.Cups & Plates (foam),Fishing Gear.Fishing Gear,Fishing Gear.Fishing Buoys,Fishing Gear.Fishing Net & Pieces,Fishing Gear.Rope (1 meter = 1 piece),Fishing Gear.Fishing line ( 1 meter = 1 piece),Other Trash.Other Trash,"Other Trash.Appliances (fridges, washers, etc)",Other Trash.Balloons,Other Trash.Cigar Tips,Other Trash.Cigarette Lighters,Other Trash.Construction Materials,Other Trash.Fireworks,Other Trash.Tyres,Items of Local Concern,Items of Local Concern.Foam Pieces,Items of Local Concern.Glass Pieces,Items of Local Concern.Plastic Pieces,Items of Local Concern.Rubber Bands,Packaging Materials,Packaging Materials.6-pack holders,Packaging Materials.Other Plastic / Foam Packaging,"Packaging Materials.Other Plastic Bottles (oil, bleach, etc)",Packaging Materials.Strapping bands,Packaging Materials.Tobacco Packaging / Wrappers,Personal Hygiene,Personal Hygiene.Condoms,Personal Hygiene.Diapers,Personal Hygiene.Syringes,Personal Hygiene.Tampons / Tampon Applicators,Dead / Injured Animals,Dead / Injured Animals.What Animal?,Dead / Injured Animals.Dead or Injured?,Dead / Injured Animals.Is the animal entangled? Entangled by what?,Comments
44,2019,Coney Island (Pulau Serangoon) Beach A,"Saturday, 19 October 2019",State Street Bank,Joyce Chia,12,6,84,100,552,473,3,0,0,0,76,552,473,2,0,0,0,20,0,0,35,0,404,0,0,0,2,0,0,10,0,3,0,2,1,0,0,0,0,0,0,0,0,0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NIL,,,"Rubber Rope - 1, Bagpack - 2, Shoes - 26 pairs, Oil Drum - 1"
45,2019,Coney Island (Pulau Serangoon) Beach A,"Saturday, 19 October 2019",Arup Singapore Pte Ltd,Saket Sarupria,23,13,245,200,1436,624,17,146,29,0,620,1436,624,2,23,8,63,36,7,16,52,25,290,2,13,17,48,2,0,15,5,17,0,3,4,10,29,1,0,3,8,6,0,11,620,454,3,163,0,146,0,139,6,0,1,0,0,0,0,0,,NIL,,,"Slipper 31, Light Bulb 3, Lipstik container 1, Drums 2, Bone Toy 1, Tyres 3, Brush 1, Helmet 1, Hanger 1, Shoes 1, Rice Bag 1, Concrete Beam 1, Lego 1, Wallet 1, Mask 1, Ruler 1, Gloves 1"
138,2018,Coney Island Beach A,"Saturday, 15 September 2018",Naval Base Secondary,Teo Ann Peng Simon,72,15,104,300,991,455,48,27,28,0,433,,151,20,18,17,21,32,11,10,18,4,,,,,,,,,,48,11,11,26,0,28,0,0,4,6,4,0,14,433,243,56,82,52,27,5,13,7,2,0,0,0,0,0,0,,0,,,
139,2018,Coney Island Beach A,"Saturday, 15 September 2018",School of the Arts (SOTA),Denissia,7,14,82,400,445,333,1,53,0,1,57,,87,1,61,3,0,2,0,0,18,2,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,57,26,9,21,1,53,0,37,2,11,3,1,0,0,1,0,,Horse Shoe Crab,,,
140,2018,Coney Island Beach B,"Saturday, 15 September 2018",Inland Revenue Recreation Club,Lee Jin Wei,17,8,72,500,482,215,10,66,18,0,173,,110,20,11,5,5,22,7,7,18,15,,,,,,,,,,10,0,4,6,0,18,0,2,0,6,9,1,0,173,158,0,14,1,66,0,49,2,15,0,0,0,0,0,0,,fish,,,
141,2018,Coney Island Beach D,"Saturday, 15 September 2018",Trash Hero Singapore,Stella Cochrane,15,16,154,200,424,200,23,42,26,2,131,,107,3,4,7,16,15,1,7,48,6,,,,,,,,,,23,0,6,13,4,26,0,0,0,22,4,0,0,131,97,5,29,0,42,0,31,10,1,0,2,0,0,0,2,,0,,,
142,2018,Coney Island Beach D,"Saturday, 15 September 2018",Willy's Gang,Willy Zhang,4,4,60,250,231,157,2,9,2,0,61,,77,1,47,5,1,3,0,0,17,3,,,,,,,,,,2,0,2,0,0,2,0,0,1,0,0,0,1,61,15,2,43,1,9,0,6,0,3,0,0,0,0,0,0,,0,,,
143,2018,Coney Island Beach E,"Saturday, 15 September 2018",Arup Singapore Pte Ltd,Saket Sarupria,26,22,469,300,1142,1046,19,10,5,3,59,,513,1,26,13,22,4,1,5,437,4,,,,,,,,,,19,2,5,12,0,5,1,0,0,1,1,0,2,59,11,3,44,1,10,0,4,6,0,0,3,0,3,0,0,,0,,,
144,2018,Coney Island Beach E,"Saturday, 15 September 2018",ERM,Ivan Tay,22,13,59,250,911,347,15,233,15,0,301,,73,3,24,5,1,21,0,5,12,2,,,,,,,,,,15,0,3,9,3,15,0,0,0,8,7,0,0,301,195,2,86,18,233,1,188,33,6,5,0,0,0,0,0,,0,,,
145,2018,Coney Island - Beach E,"Saturday, 15 September 2018",Trash Hero Singapore,Stella Cochrane,18,21,105,150,693,434,31,57,23,0,148,,321,4,2,10,15,16,2,5,261,6,,,,,,,,,,31,1,4,18,8,23,1,0,2,14,5,0,1,148,88,1,57,2,57,0,32,18,7,0,0,0,0,0,0,,Starfish,,,
203,2017,  Pulau Serangoon (Coney Island) Beach A ,"Saturday, 23 September 2017",Earthlink NTU Nature Guiding Committee,"Goh Shu Hui Gina, Ong Jo-Anne, Chua Kai Ting",54,24,106,200,3332,583,52,91,39,0,2567,3332,583,25,33,7,0,37,3,18,35,6,168,12,5,19,32,1,1,8,173,52,5,13,34,0,39,0,2,0,15,9,1,12,2567,2402,3,157,5,91,3,43,31,12,2,0,0,0,0,0,,Fish,,,
